"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3qy1GkfO8gJveL1RN7PVSf","Virus://Vibrance","spotify:artist:5NU7mpGqMvlZpq63RajHOH","Vein","spotify:album:5KSIgVF5lx4JURkS50jRS9","Errorzone","spotify:artist:5NU7mpGqMvlZpq63RajHOH","Vein","2018-06-22","https://i.scdn.co/image/ab67616d0000b273af89ca043be8fd7637b54df5","1","1","144695","https://p.scdn.co/mp3-preview/177dd69f104c5571bd4a3a0bac11737834a164fa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-12T03:23:02Z"
"spotify:track:3ar2QgJBKzLfn0wQPOPDwG","Old Data in a Dead Machine","spotify:artist:5NU7mpGqMvlZpq63RajHOH","Vein","spotify:album:5KSIgVF5lx4JURkS50jRS9","Errorzone","spotify:artist:5NU7mpGqMvlZpq63RajHOH","Vein","2018-06-22","https://i.scdn.co/image/ab67616d0000b273af89ca043be8fd7637b54df5","1","2","129774","https://p.scdn.co/mp3-preview/5a14b4ba696ef271a8d87fd8fd3f4d8d6dce38eb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-12T03:23:02Z"
"spotify:track:6U48ez6MP1wVORxrGYjtBF","Rebirth Protocol","spotify:artist:5NU7mpGqMvlZpq63RajHOH","Vein","spotify:album:5KSIgVF5lx4JURkS50jRS9","Errorzone","spotify:artist:5NU7mpGqMvlZpq63RajHOH","Vein","2018-06-22","https://i.scdn.co/image/ab67616d0000b273af89ca043be8fd7637b54df5","1","3","66701","https://p.scdn.co/mp3-preview/43d0aeed0434a1f8c3658c2cbe2538d32eb608ea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-12T03:23:02Z"
"spotify:track:4I9B9rRBgrlpoft51PVSAk","Broken Glass Complexion","spotify:artist:5NU7mpGqMvlZpq63RajHOH","Vein","spotify:album:5KSIgVF5lx4JURkS50jRS9","Errorzone","spotify:artist:5NU7mpGqMvlZpq63RajHOH","Vein","2018-06-22","https://i.scdn.co/image/ab67616d0000b273af89ca043be8fd7637b54df5","1","4","146915","https://p.scdn.co/mp3-preview/9adb6cc9b27a856eafc0869106bbc312bbae02a1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-12T03:23:02Z"
"spotify:track:2mvgK5aHsARxHQ827OfbXC","Anesthesia","spotify:artist:5NU7mpGqMvlZpq63RajHOH","Vein","spotify:album:5KSIgVF5lx4JURkS50jRS9","Errorzone","spotify:artist:5NU7mpGqMvlZpq63RajHOH","Vein","2018-06-22","https://i.scdn.co/image/ab67616d0000b273af89ca043be8fd7637b54df5","1","5","67210","https://p.scdn.co/mp3-preview/a94f4035fbba66bfaf5b731b257b716abc8768e6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-12T03:23:02Z"
"spotify:track:4WWW4QcPU1yZoTSEZE2mRI","Demise Automation","spotify:artist:5NU7mpGqMvlZpq63RajHOH","Vein","spotify:album:5KSIgVF5lx4JURkS50jRS9","Errorzone","spotify:artist:5NU7mpGqMvlZpq63RajHOH","Vein","2018-06-22","https://i.scdn.co/image/ab67616d0000b273af89ca043be8fd7637b54df5","1","6","108449","https://p.scdn.co/mp3-preview/2213493c2bcfe1eea09dd61b88607d20da578fce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-12T03:23:02Z"
"spotify:track:3HZUUjUk4xKqkP7u09X8Nb","Doomtech","spotify:artist:5NU7mpGqMvlZpq63RajHOH","Vein","spotify:album:5KSIgVF5lx4JURkS50jRS9","Errorzone","spotify:artist:5NU7mpGqMvlZpq63RajHOH","Vein","2018-06-22","https://i.scdn.co/image/ab67616d0000b273af89ca043be8fd7637b54df5","1","7","286790","https://p.scdn.co/mp3-preview/65fe25f5dfe536152575b5956f853104b699e105?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-12T03:23:02Z"
"spotify:track:2FEAiEyD5Od8E87m4AuG7Z","Untitled","spotify:artist:5NU7mpGqMvlZpq63RajHOH","Vein","spotify:album:5KSIgVF5lx4JURkS50jRS9","Errorzone","spotify:artist:5NU7mpGqMvlZpq63RajHOH","Vein","2018-06-22","https://i.scdn.co/image/ab67616d0000b273af89ca043be8fd7637b54df5","1","8","59631","https://p.scdn.co/mp3-preview/6d138e5b4b5bb3a602c699739c21b177d0ad678c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-12T03:23:02Z"
"spotify:track:7iHBbgRWz8D5x7rzEWh0tG","End Eternal","spotify:artist:5NU7mpGqMvlZpq63RajHOH","Vein","spotify:album:5KSIgVF5lx4JURkS50jRS9","Errorzone","spotify:artist:5NU7mpGqMvlZpq63RajHOH","Vein","2018-06-22","https://i.scdn.co/image/ab67616d0000b273af89ca043be8fd7637b54df5","1","9","193688","https://p.scdn.co/mp3-preview/531832e60081b57bd399ad356cd74eeb74fa9634?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-12T03:23:02Z"
"spotify:track:5eFI3Z10boOcLyJO4PnZ0F","Errorzone","spotify:artist:5NU7mpGqMvlZpq63RajHOH","Vein","spotify:album:5KSIgVF5lx4JURkS50jRS9","Errorzone","spotify:artist:5NU7mpGqMvlZpq63RajHOH","Vein","2018-06-22","https://i.scdn.co/image/ab67616d0000b273af89ca043be8fd7637b54df5","1","10","255665","https://p.scdn.co/mp3-preview/a7e66da7d4f397f04e85684848630b84ace614a6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-12T03:23:02Z"
"spotify:track:5LMRiZWWiiewWIPeKrX1Ja","Quitting Infinity","spotify:artist:5NU7mpGqMvlZpq63RajHOH","Vein","spotify:album:5KSIgVF5lx4JURkS50jRS9","Errorzone","spotify:artist:5NU7mpGqMvlZpq63RajHOH","Vein","2018-06-22","https://i.scdn.co/image/ab67616d0000b273af89ca043be8fd7637b54df5","1","11","199627","https://p.scdn.co/mp3-preview/bb0c587e028c796c0c5b3e2594e5865660e8345d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-12T03:23:02Z"
"spotify:track:6XyxCBp6x3jvtxXvMN5sAA","1539 N. Calvert","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","spotify:album:51WLEfPEEkzAWurvuY6Gco","Veteran","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","2018-01-19","https://i.scdn.co/image/ab67616d0000b273f8aaeba5e6dee1745371e822","1","1","157258","https://p.scdn.co/mp3-preview/05ea57e12ceb2382c6edd8be977fd9977461c068?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-12T03:23:14Z"
"spotify:track:2DVI5bxoh3qXVYA1XmraN8","Real Nega","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","spotify:album:51WLEfPEEkzAWurvuY6Gco","Veteran","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","2018-01-19","https://i.scdn.co/image/ab67616d0000b273f8aaeba5e6dee1745371e822","1","2","150933","https://p.scdn.co/mp3-preview/660e5f3e7144d3fe2105ea50ff8d9a37a1b16f4f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","46","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-12T03:23:14Z"
