"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1hxVQkhDJN2UnkgeqX68D3","a few words for the firing squad (radiation)","spotify:artist:4RnBFZRiMLRyZy0AzzTg2C","Run The Jewels","spotify:album:6cx4GVNs03Pu4ZczRnWiLd","RTJ4","spotify:artist:4RnBFZRiMLRyZy0AzzTg2C","Run The Jewels","2020-06-03","https://i.scdn.co/image/ab67616d0000b273bed9d43f754cc05ae29c2c85","1","11","402200","https://p.scdn.co/mp3-preview/5b4cd960bfa18ff5605fde8463ebc6a80c849973?cid=9950ac751e34487dbbe027c4fd7f8e99","true","49","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-26T18:12:48Z"
"spotify:track:4vlTQd7wcPLa4ksptThJRu","Intro.Destitute","spotify:artist:3uL4UpqShC4p2x1dJutoRW","Ghostemane","spotify:album:3gEv1vpsDgaEo4TLuu0Lwz","ANTI-ICON","spotify:artist:3uL4UpqShC4p2x1dJutoRW","Ghostemane","2020-10-21","https://i.scdn.co/image/ab67616d0000b273d2d74feea8cc2b317638969b","1","1","115533","https://p.scdn.co/mp3-preview/a4bc2fa04fd2b02853534fbe0739081615bae714?cid=9950ac751e34487dbbe027c4fd7f8e99","true","47","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-26T18:12:56Z"
"spotify:track:48TYKdjkiIN6brcIilEVWB","Vagabond","spotify:artist:3uL4UpqShC4p2x1dJutoRW","Ghostemane","spotify:album:3gEv1vpsDgaEo4TLuu0Lwz","ANTI-ICON","spotify:artist:3uL4UpqShC4p2x1dJutoRW","Ghostemane","2020-10-21","https://i.scdn.co/image/ab67616d0000b273d2d74feea8cc2b317638969b","1","2","114305","https://p.scdn.co/mp3-preview/d5ae5dba19f66091d47b25bf322d598757ee8129?cid=9950ac751e34487dbbe027c4fd7f8e99","true","62","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-26T18:12:56Z"
"spotify:track:4BkM0A2FwgLB8Av8fKLMzg","Lazaretto","spotify:artist:3uL4UpqShC4p2x1dJutoRW","Ghostemane","spotify:album:3gEv1vpsDgaEo4TLuu0Lwz","ANTI-ICON","spotify:artist:3uL4UpqShC4p2x1dJutoRW","Ghostemane","2020-10-21","https://i.scdn.co/image/ab67616d0000b273d2d74feea8cc2b317638969b","1","3","113333","https://p.scdn.co/mp3-preview/e133914d4a1afa9e75fa063dbbc1a111178c5c95?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-26T18:12:56Z"
"spotify:track:3PXkCLjfTwH0fpolS9yELH","Sacrilege","spotify:artist:3uL4UpqShC4p2x1dJutoRW","Ghostemane","spotify:album:3gEv1vpsDgaEo4TLuu0Lwz","ANTI-ICON","spotify:artist:3uL4UpqShC4p2x1dJutoRW","Ghostemane","2020-10-21","https://i.scdn.co/image/ab67616d0000b273d2d74feea8cc2b317638969b","1","4","141558","https://p.scdn.co/mp3-preview/21b99acba4c28f632a36e57d8018a714228aa276?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-26T18:12:56Z"
"spotify:track:0IdJ2fQSlQTeNuuA3Xznfm","AI","spotify:artist:3uL4UpqShC4p2x1dJutoRW","Ghostemane","spotify:album:3gEv1vpsDgaEo4TLuu0Lwz","ANTI-ICON","spotify:artist:3uL4UpqShC4p2x1dJutoRW","Ghostemane","2020-10-21","https://i.scdn.co/image/ab67616d0000b273d2d74feea8cc2b317638969b","1","5","174586","https://p.scdn.co/mp3-preview/2d79a070d1fa6ea374a0a530960a0e5f42584467?cid=9950ac751e34487dbbe027c4fd7f8e99","true","56","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-26T18:12:56Z"
"spotify:track:0BV0AYGLVlu2SdjN3J9twp","Fed Up","spotify:artist:3uL4UpqShC4p2x1dJutoRW","Ghostemane","spotify:album:3gEv1vpsDgaEo4TLuu0Lwz","ANTI-ICON","spotify:artist:3uL4UpqShC4p2x1dJutoRW","Ghostemane","2020-10-21","https://i.scdn.co/image/ab67616d0000b273d2d74feea8cc2b317638969b","1","6","151625","https://p.scdn.co/mp3-preview/b005ee56dbe65cdcc96b22dee90a57420af3268c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-26T18:12:56Z"
"spotify:track:0QpVrGlasZUxg7F6FgY9ig","The Winds of Change","spotify:artist:3uL4UpqShC4p2x1dJutoRW","Ghostemane","spotify:album:3gEv1vpsDgaEo4TLuu0Lwz","ANTI-ICON","spotify:artist:3uL4UpqShC4p2x1dJutoRW","Ghostemane","2020-10-21","https://i.scdn.co/image/ab67616d0000b273d2d74feea8cc2b317638969b","1","7","160276","https://p.scdn.co/mp3-preview/192ac0ab2a522537d779b40890436156e306ea61?cid=9950ac751e34487dbbe027c4fd7f8e99","true","48","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-26T18:12:56Z"
"spotify:track:5guQjkjzpIMpX81VAZTHNy","Hydrochloride","spotify:artist:3uL4UpqShC4p2x1dJutoRW","Ghostemane","spotify:album:3gEv1vpsDgaEo4TLuu0Lwz","ANTI-ICON","spotify:artist:3uL4UpqShC4p2x1dJutoRW","Ghostemane","2020-10-21","https://i.scdn.co/image/ab67616d0000b273d2d74feea8cc2b317638969b","1","8","147181","https://p.scdn.co/mp3-preview/32f1a70cc742ab3f8e720584e9cb87ea614d0944?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-26T18:12:56Z"
"spotify:track:1cwcmyyPTjJrH2tZpjrYxD","Hellrap","spotify:artist:3uL4UpqShC4p2x1dJutoRW","Ghostemane","spotify:album:3gEv1vpsDgaEo4TLuu0Lwz","ANTI-ICON","spotify:artist:3uL4UpqShC4p2x1dJutoRW","Ghostemane","2020-10-21","https://i.scdn.co/image/ab67616d0000b273d2d74feea8cc2b317638969b","1","9","130438","https://p.scdn.co/mp3-preview/93acd2b8ca7e5476e4bb67fdd0f3648b910de100?cid=9950ac751e34487dbbe027c4fd7f8e99","true","59","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-26T18:12:56Z"
"spotify:track:0VrXpPSNlwKep3otvmw9iX","Anti-Social Masochistic Rage [ASMR]","spotify:artist:3uL4UpqShC4p2x1dJutoRW","Ghostemane","spotify:album:3gEv1vpsDgaEo4TLuu0Lwz","ANTI-ICON","spotify:artist:3uL4UpqShC4p2x1dJutoRW","Ghostemane","2020-10-21","https://i.scdn.co/image/ab67616d0000b273d2d74feea8cc2b317638969b","1","10","193952","https://p.scdn.co/mp3-preview/cab10eea1ce1f41ab5a89bc88d5a3caba6a279e2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","51","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-26T18:12:56Z"
"spotify:track:275Y7kmWlhrLbTP5xBEbIc","Melanchoholic","spotify:artist:3uL4UpqShC4p2x1dJutoRW","Ghostemane","spotify:album:3gEv1vpsDgaEo4TLuu0Lwz","ANTI-ICON","spotify:artist:3uL4UpqShC4p2x1dJutoRW","Ghostemane","2020-10-21","https://i.scdn.co/image/ab67616d0000b273d2d74feea8cc2b317638969b","1","11","283211","https://p.scdn.co/mp3-preview/4b2842e0a1102f99b2168a756a4b15d8328d89b9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","48","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-26T18:12:56Z"
"spotify:track:21E4prHLgcSeqKq2AqF47G","Calamity","spotify:artist:3uL4UpqShC4p2x1dJutoRW","Ghostemane","spotify:album:3gEv1vpsDgaEo4TLuu0Lwz","ANTI-ICON","spotify:artist:3uL4UpqShC4p2x1dJutoRW","Ghostemane","2020-10-21","https://i.scdn.co/image/ab67616d0000b273d2d74feea8cc2b317638969b","1","12","163025","https://p.scdn.co/mp3-preview/5fe8337d3eae64210cef278802a033bca533f762?cid=9950ac751e34487dbbe027c4fd7f8e99","true","46","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-26T18:12:56Z"
"spotify:track:5GYdnTwF4XoZTFUeP3qSNS","Falling Down","spotify:artist:3uL4UpqShC4p2x1dJutoRW","Ghostemane","spotify:album:3gEv1vpsDgaEo4TLuu0Lwz","ANTI-ICON","spotify:artist:3uL4UpqShC4p2x1dJutoRW","Ghostemane","2020-10-21","https://i.scdn.co/image/ab67616d0000b273d2d74feea8cc2b317638969b","1","13","280818","https://p.scdn.co/mp3-preview/5048ed476a1e434794d509851ef2dda0ef8bfb39?cid=9950ac751e34487dbbe027c4fd7f8e99","true","49","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-26T18:12:56Z"
"spotify:track:0EtcGmf2mVZbHWq2ZGP3t7","Spotlight","spotify:artist:5Mq7iqCWBzofK39FBqblNc","Jessie Ware","spotify:album:1CTm3ARqDETSm7GfvNYNJp","What's Your Pleasure?","spotify:artist:5Mq7iqCWBzofK39FBqblNc","Jessie Ware","2020-06-26","https://i.scdn.co/image/ab67616d0000b27315a8ce875e83f1134d225aab","1","1","331933","https://p.scdn.co/mp3-preview/31dd7ad6033ddaacea453797ffb660bc1d4f45a6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-26T19:55:43Z"
"spotify:track:2ZcwbSYqc8RfPGMMXTIdb0","What’s Your Pleasure?","spotify:artist:5Mq7iqCWBzofK39FBqblNc","Jessie Ware","spotify:album:1CTm3ARqDETSm7GfvNYNJp","What's Your Pleasure?","spotify:artist:5Mq7iqCWBzofK39FBqblNc","Jessie Ware","2020-06-26","https://i.scdn.co/image/ab67616d0000b27315a8ce875e83f1134d225aab","1","2","278026","https://p.scdn.co/mp3-preview/d9a036c72104f78a44ea24c80ca583ece4699bbe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-26T19:55:43Z"
"spotify:track:55pv69Q4Iwbf2zvrRhE0A2","Ooh La La","spotify:artist:5Mq7iqCWBzofK39FBqblNc","Jessie Ware","spotify:album:1CTm3ARqDETSm7GfvNYNJp","What's Your Pleasure?","spotify:artist:5Mq7iqCWBzofK39FBqblNc","Jessie Ware","2020-06-26","https://i.scdn.co/image/ab67616d0000b27315a8ce875e83f1134d225aab","1","3","228213","https://p.scdn.co/mp3-preview/c7ae39c134e847b36783db31f332c0285aa637ce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-26T19:55:43Z"
"spotify:track:7KXYD0NGzDgZ3J0fQ72SGZ","Soul Control","spotify:artist:5Mq7iqCWBzofK39FBqblNc","Jessie Ware","spotify:album:1CTm3ARqDETSm7GfvNYNJp","What's Your Pleasure?","spotify:artist:5Mq7iqCWBzofK39FBqblNc","Jessie Ware","2020-06-26","https://i.scdn.co/image/ab67616d0000b27315a8ce875e83f1134d225aab","1","4","239280","https://p.scdn.co/mp3-preview/6eb938a483d35e4dac805d75dd0aa32307844704?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-26T19:55:43Z"
"spotify:track:6rlQYRWG6ZN5X89LA0zBE7","Save A Kiss","spotify:artist:5Mq7iqCWBzofK39FBqblNc","Jessie Ware","spotify:album:1CTm3ARqDETSm7GfvNYNJp","What's Your Pleasure?","spotify:artist:5Mq7iqCWBzofK39FBqblNc","Jessie Ware","2020-06-26","https://i.scdn.co/image/ab67616d0000b27315a8ce875e83f1134d225aab","1","5","242266","https://p.scdn.co/mp3-preview/6a0f4b49556820a42205c54170a4133144d0292c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-26T19:55:43Z"
"spotify:track:1TZpVXWfeFsnoTz6idYnkW","Adore You","spotify:artist:5Mq7iqCWBzofK39FBqblNc","Jessie Ware","spotify:album:1CTm3ARqDETSm7GfvNYNJp","What's Your Pleasure?","spotify:artist:5Mq7iqCWBzofK39FBqblNc","Jessie Ware","2020-06-26","https://i.scdn.co/image/ab67616d0000b27315a8ce875e83f1134d225aab","1","6","226373","https://p.scdn.co/mp3-preview/d061aa32a5b785d9a006cf581d5659b6b78874cb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-26T19:55:43Z"
"spotify:track:2gxHL3jWAPMcXO7glNsMw7","In Your Eyes","spotify:artist:5Mq7iqCWBzofK39FBqblNc","Jessie Ware","spotify:album:1CTm3ARqDETSm7GfvNYNJp","What's Your Pleasure?","spotify:artist:5Mq7iqCWBzofK39FBqblNc","Jessie Ware","2020-06-26","https://i.scdn.co/image/ab67616d0000b27315a8ce875e83f1134d225aab","1","7","298453","https://p.scdn.co/mp3-preview/f7ce926d6f18d2f8eeabe2b4af628d41d54dd20e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-26T19:55:43Z"
"spotify:track:25dvZoiLBhDrjbTxrTXPRn","Step Into My Life","spotify:artist:5Mq7iqCWBzofK39FBqblNc","Jessie Ware","spotify:album:1CTm3ARqDETSm7GfvNYNJp","What's Your Pleasure?","spotify:artist:5Mq7iqCWBzofK39FBqblNc","Jessie Ware","2020-06-26","https://i.scdn.co/image/ab67616d0000b27315a8ce875e83f1134d225aab","1","8","217133","https://p.scdn.co/mp3-preview/3bf44e50938c0a95704e76311453dd3e5d138282?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-26T19:55:43Z"
"spotify:track:6TOtXc4baTpVCQE7rwbgLR","Read My Lips","spotify:artist:5Mq7iqCWBzofK39FBqblNc","Jessie Ware","spotify:album:1CTm3ARqDETSm7GfvNYNJp","What's Your Pleasure?","spotify:artist:5Mq7iqCWBzofK39FBqblNc","Jessie Ware","2020-06-26","https://i.scdn.co/image/ab67616d0000b27315a8ce875e83f1134d225aab","1","9","243533","https://p.scdn.co/mp3-preview/05d2da5fb40442a6327779ce2c0e511e9eb28018?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-26T19:55:43Z"
"spotify:track:5CZ53WFltsPPyLmx34QJwh","Mirage (Don’t Stop)","spotify:artist:5Mq7iqCWBzofK39FBqblNc","Jessie Ware","spotify:album:1CTm3ARqDETSm7GfvNYNJp","What's Your Pleasure?","spotify:artist:5Mq7iqCWBzofK39FBqblNc","Jessie Ware","2020-06-26","https://i.scdn.co/image/ab67616d0000b27315a8ce875e83f1134d225aab","1","10","287253","https://p.scdn.co/mp3-preview/ff1e0b613491ee9981d2c62fa791927b6c8d9da8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-26T19:55:43Z"
"spotify:track:4PXinTcjZIaky3sDwBUXIc","The Kill","spotify:artist:5Mq7iqCWBzofK39FBqblNc","Jessie Ware","spotify:album:1CTm3ARqDETSm7GfvNYNJp","What's Your Pleasure?","spotify:artist:5Mq7iqCWBzofK39FBqblNc","Jessie Ware","2020-06-26","https://i.scdn.co/image/ab67616d0000b27315a8ce875e83f1134d225aab","1","11","277693","https://p.scdn.co/mp3-preview/3cf26d052fd124fdefdf7229601b53372d455fc9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-26T19:55:43Z"
"spotify:track:1yELCmfuqESOtVx27fwVfB","Remember Where You Are","spotify:artist:5Mq7iqCWBzofK39FBqblNc","Jessie Ware","spotify:album:1CTm3ARqDETSm7GfvNYNJp","What's Your Pleasure?","spotify:artist:5Mq7iqCWBzofK39FBqblNc","Jessie Ware","2020-06-26","https://i.scdn.co/image/ab67616d0000b27315a8ce875e83f1134d225aab","1","12","334546","https://p.scdn.co/mp3-preview/e83b287aa920c9d6016965bbaa6e8b15c07ec5c7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-26T19:55:43Z"
"spotify:track:1CzagEt3BKgPOYjKTGdDKV","War","spotify:artist:75mafsNqNE1WSEVxIKuY5C","IDLES","spotify:album:0ojQHzflxMs6SfvBBkRKt6","Ultra Mono","spotify:artist:75mafsNqNE1WSEVxIKuY5C","IDLES","2020-09-25","https://i.scdn.co/image/ab67616d0000b273e9b124bbcd01f45fc07d2a1d","1","1","187451","https://p.scdn.co/mp3-preview/a7c0ab514b3493f7fdb9c26090f2adaa4b692fde?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-30T16:36:23Z"
"spotify:track:620IDPWRadDTa6F37LhOb1","Grounds","spotify:artist:75mafsNqNE1WSEVxIKuY5C","IDLES","spotify:album:0ojQHzflxMs6SfvBBkRKt6","Ultra Mono","spotify:artist:75mafsNqNE1WSEVxIKuY5C","IDLES","2020-09-25","https://i.scdn.co/image/ab67616d0000b273e9b124bbcd01f45fc07d2a1d","1","2","188715","https://p.scdn.co/mp3-preview/6625506067b586a6217cf8e6e836756b5b14b20d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","45","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-30T16:36:23Z"
"spotify:track:4pfbtFN3vP3RdKYUkZmJxz","Mr. Motivator","spotify:artist:75mafsNqNE1WSEVxIKuY5C","IDLES","spotify:album:0ojQHzflxMs6SfvBBkRKt6","Ultra Mono","spotify:artist:75mafsNqNE1WSEVxIKuY5C","IDLES","2020-09-25","https://i.scdn.co/image/ab67616d0000b273e9b124bbcd01f45fc07d2a1d","1","3","195568","https://p.scdn.co/mp3-preview/d2a34744f9fce8f1d5b0694f3b222bead7a09895?cid=9950ac751e34487dbbe027c4fd7f8e99","true","42","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-30T16:36:23Z"
"spotify:track:3jq692i69FtQIrX0dxn1qk","Anxiety","spotify:artist:75mafsNqNE1WSEVxIKuY5C","IDLES","spotify:album:0ojQHzflxMs6SfvBBkRKt6","Ultra Mono","spotify:artist:75mafsNqNE1WSEVxIKuY5C","IDLES","2020-09-25","https://i.scdn.co/image/ab67616d0000b273e9b124bbcd01f45fc07d2a1d","1","4","179837","https://p.scdn.co/mp3-preview/c7f675cb859610dd2aba63c5879f6a47e9aed742?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-30T16:36:23Z"
"spotify:track:3tUTD7VZZeMI8inBmNPwhC","Kill Them With Kindness","spotify:artist:75mafsNqNE1WSEVxIKuY5C","IDLES","spotify:album:0ojQHzflxMs6SfvBBkRKt6","Ultra Mono","spotify:artist:75mafsNqNE1WSEVxIKuY5C","IDLES","2020-09-25","https://i.scdn.co/image/ab67616d0000b273e9b124bbcd01f45fc07d2a1d","1","5","229579","https://p.scdn.co/mp3-preview/8d18b00000dafdddb0879a44f3b5652828fc7a3e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-30T16:36:23Z"
"spotify:track:5leTrMUMJrpyxHcSv12Vta","Model Village","spotify:artist:75mafsNqNE1WSEVxIKuY5C","IDLES","spotify:album:0ojQHzflxMs6SfvBBkRKt6","Ultra Mono","spotify:artist:75mafsNqNE1WSEVxIKuY5C","IDLES","2020-09-25","https://i.scdn.co/image/ab67616d0000b273e9b124bbcd01f45fc07d2a1d","1","6","234878","https://p.scdn.co/mp3-preview/644f5ef4990371b388c9ac10fb8192ada955c8a5?cid=9950ac751e34487dbbe027c4fd7f8e99","true","42","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-30T16:36:23Z"
